owner_repo,C1,C2,C3,usage,mode_integration,confiance,preuve,penalite,motif
projectdiscovery/nuclei,5,5,5,outil externe,CLI,moyenne,README + arborescence de 1er niveau (profil .profils/),,"DESIGN.md au dépôt, séparation cmd/internal/pkg/lib, template YAML = déclaration de capacité. Le meilleur exemple de 'l'outil est décrit par données, pas par code'."
jlowin/fastmcp,4,5,3,code réutilisable,SDK,moyenne,README + arborescence de 1er niveau (profil .profils/),,"SDK Python MCP ergonomique, fastmcp_slim/ vs fastmcp_remote/, tâches. Bonne base pour écrire nos adaptateurs d'outils."
modelcontextprotocol/registry,4,4,2,code réutilisable,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Go, cmd/internal/pkg, API gelée en v0.1 + docs/design/ecosystem-vision.md. La référence pour la forme d'un registre, pas pour le contenu sécurité."
IBM/mcp-context-forge,4,4,3,composant d'infrastructure,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Gateway MCP complète : plugins/, mcpgateway/, supply-chain/, charts/, ansible/. Très riche, mais la surface est énorme : risque de sur-ingénierie pour notre Phase 3."
agentic-community/mcp-gateway-registry,4,4,3,composant d'infrastructure,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"registry/ + gateway/ + auth_server/, et surtout docs/design/theory-of-the-system.md qui explique comment modifier le système sans casser sa théorie. Document rare et précieux."
metatool-ai/metamcp,3,3,3,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,Agrégateur/orchestrateur/gateway MCP tout-en-un. Utile comme contre-exemple de périmètre trop large.
MCPJungle/MCPJungle,3,4,2,composant d'infrastructure,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Go, cmd/internal/pkg, un endpoint pour tous les MCP. Propre mais commodité."
open-policy-agent/opa,5,5,3,composant d'infrastructure,HTTP sidecar,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Policy-as-code, CNCF graduated, sdk/ + server/ + topdown/ + bundle. La brique déterministe de notre POLICY ENGINE existe déjà : l'intégrer plutôt que l'écrire."
microsoft/agent-governance-toolkit,5,4,3,code réutilisable,à confirmer,moyenne,README + arborescence de 1er niveau (profil .profils/),,"policy-engine/ + schemas/ + benchmarks/prompt-injection, porté sur 7 langages. Spécifications de gouvernance d'agent : exactement notre chapitre 'AI != security boundary'."
agentgateway/agentgateway,4,4,3,composant d'infrastructure,conteneur,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Rust + Go, dossiers architecture/ et design/, fuzz/. Gateway agent sous charter LF. Bon modèle de point de contrôle unique entre l'IA et les outils."
stacklok/toolhive,5,5,4,composant d'infrastructure,conteneur,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Chaque serveur MCP dans un conteneur isolé, containers/egress-proxy/, politique par requête, pkg/ + cmd/ Go propres. La réponse la plus directe à notre Phase 7."
invariantlabs-ai/mcp-scan,3,4,2,outil externe,CLI,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Scanner d'agents/MCP/skills pour prompt injection. Output CLI explicitement instable : à consommer avec précaution, pas à intégrer."
cisco-ai-defense/mcp-scanner,4,4,3,outil externe,CLI,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Trois moteurs (Yara, LLM, Cisco AI Defense) utilisables ensemble ou seuls, plus pip-audit. Le pattern 'plusieurs providers derrière une capacité', appliqué au scanning."
DefectDojo/django-DefectDojo,5,4,5,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Des dizaines de parsers d'import, modèle produit/engagement/test/finding, BSD-3. La référence du modèle de findings unifié ; notre Phase 8 doit s'y aligner plutôt qu'inventer."
infobyte/faraday,4,3,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"architecture.md au dépôt, corrélation et travail collaboratif sur findings. GPL-3.0 -> G2."
aquasecurity/trivy,5,5,5,outil externe,CLI,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Scanners x cibles en matrice, sortie SARIF/CycloneDX native, pkg/ + rpc/. Le meilleur exemple de séparation 'ce qu'on cherche' / 'où on le cherche'."
secureCodeBox/secureCodeBox,5,4,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"operator/ + scanners/ + parser-sdk/ + hook-sdk/ + lurker/ : scanner comme CRD Kubernetes, parser et hooks comme SDK. L'architecture d'orchestration de scanners la plus aboutie."
DependencyTrack/dependency-track,4,4,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"vuln-analysis/ + vuln-data-source/ + package-metadata/ + notification/ : pipeline d'analyse modulaire, SBOM natif. Bon modèle de sources de données branchables."
TheHive-Project/TheHive,4,2,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Fin de distribution publique, versions 3/4 non maintenues, repo archivé. Le modèle de cas d'incident reste lisible ; G5 interdit toute réutilisation."
google/gvisor,5,4,2,composant d'infrastructure,conteneur,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Noyau applicatif en userspace, runtime OCI runsc. Isolation forte pour exécuter du code hostile. Complexe à opérer : candidat pour plus tard, pas pour la Phase 3."
cuckoosandbox/cuckoo,4,2,3,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,Son propre README déclare 2.x non maintenu et une réécriture en cours. Modèle analyser/resultats historique ; G5 + G1.
falcosecurity/falco,4,4,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"Détection runtime par règles, et surtout une modularisation explicite en dépôts spécialisés (falcosecurity/evolution). Leçon d'architecture : séparer avant que ça grossisse."
intelowlproject/IntelOwl,4,3,4,référence architecturale,lecture,moyenne,README + arborescence de 1er niveau (profil .profils/),,"api_app/ + async_tests/ + integrations/, analyseurs branchables. AGPL-3.0 -> G2."
velocidex/velociraptor,5,4,4,outil externe,API,moyenne,README + arborescence de 1er niveau (profil .profils/),,"artifacts/ + flows/ + actions/ + accessors/ + acls/ : un artefact = une capacité déclarée, VQL comme langage de requête, ACL intégrées. Le modèle capability le plus complet du lot."
prowler-cloud/prowler,4,4,4,outil externe,CLI,moyenne,README + arborescence de 1er niveau (profil .profils/),,"checks/ par provider cloud, sortie multi-format, mcp_server/ et claude_plugins/ déjà présents. Bon exemple d'outil qui expose déjà une surface MCP."
semgrep/semgrep,4,4,4,outil externe,CLI,moyenne,README + arborescence de 1er niveau (profil .profils/),,"cli/ + libs/ + languages/ + interfaces/, règles déclaratives. LGPL-2.1 -> G2. À piloter en CLI, pas à importer."
